Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Prepare Progress Presentation (Sprint 2 Review) – Week 8,SCRUM-66,10329,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,18/Mar/26 3:56 PM,18/Mar/26 3:58 PM,,,,0,,"Prepare and deliver the Sprint 2 progress presentation. Covers report chapter *3.2*. Slides and report to be submitted on Moodle.

----

*Grading Criteria:*

*1. Disclosure of the Essence (max 20 pts)*

* Clear presentation of the aim, objectives and expected outcomes of the project
* Clear presentation and justification of the chosen product development project, its stages

*2. Concept (max 40 pts)*

* Demonstrate the knowledge and collected information
* Provide arguments for the answers

*3. Communication Skills and Slides (max 30 pts)*

* Verbal and non-verbal communication
* Elaborate answers to questions
* Clear and appropriate slides in terms of layout and design

*4. Teamwork (max 10 pts)*

* Speeches of different team members properly distributed in time
* Continuation of thought throughout the speakers
* Time management

----

*Deliverables:*

* Presentation slides
* Report chapter 3.2
* Submit slides and report on Moodle",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i00086:f,SCRUM questions Sprint 3,,,,,,,,,,,In Progress,18/Mar/26 3:56 PM
Contact ZUR member associations for farmer interview recruitment,SCRUM-65,10296,Task,In Progress,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,,,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,13/Mar/26 10:53 AM,18/Mar/26 11:47 AM,,,,0,,"Reach out to relevant member associations of the Chamber of Agriculture of the Republic of Lithuania (Žemės ūkio rūmai – zur.lt/members/) to recruit farmers for our user research interviews.

*Source:* https://zur.lt/members/

*Priority contacts (national-level, broad farmer reach):*

* Lithuanian Farmers' Association (Lietuvos ūkininkų draugija)
* Lithuanian Family Farmers' Union (seimosukiai.lt)
* Lithuanian Association of Organic Farms (LEUA)
* Lithuanian Young Farmers and Youth Union (jujs.lt)
* Lithuanian Association of Agricultural Cooperatives ""Kooperacijos kelias"" (koopkelias.lt)
* Local Action Groups Network

*Sector-specific associations:*

* Lithuanian Vegetable Growers Association (ldaa.lt)
* Lithuanian Cattle Breeders Association (holstein.lt)
* Lithuanian Pig Breeders Association (kiaules.lt)
* Lithuanian Sheep Breeders Association (aviuaugintojai.lt)
* Lithuanian Seed Production Association (seklininkyste.lt)
* Lithuanian Greenhouse Association
* Kaunas Beekeepers Association
* Winegrowers Association (vynuogininkuasociacija.lt)

*Regional farmer associations:*

* Ukmergė, Šakiai, Ignalina, Šalčininkai, Biržai, Skuodas district farmers' associations

*Actions:*

# Draft outreach message (in Lithuanian) introducing the Regulatory Compliance Navigator project and requesting interview participation
# Prioritize associations most likely to connect us with small-to-medium farmers navigating CAP compliance
# Send outreach emails/messages and track responses
# Schedule interviews with willing participants",,Bilal Ashrafov,712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14,,,,,,,,,{},,0|i0003w:,SCRUM questions Sprint 2,,,,,,,"13/Mar/26 11:03 AM;712020:72f6c6d8-61d4-42d7-9554-95c2403d3b14;⚠️ *NOTE TO TEAM*: Please translate this message into Lithuanian before sending.

Subject: Quick Request: Farmer Interviews for KTU Student Research on CAP Compliance

Dear [Association Name],

We're a KTU student team building a digital tool to help Lithuanian farmers manage EU regulatory compliance (CAP). We're looking for farmers willing to do a short (15–20 min) interview about their compliance experience.

Could you help by forwarding our request to your members or connecting us with a few willing participants? Interviews can be in Lithuanian, by phone or video call.

We'd be happy to share our research findings with your association afterward.

Thank you!

[Your Name]
KTU – Product Development Project K608
[Email] | [Phone]",,,,In Progress,18/Mar/26 11:46 AM
Compile final market analysis report and link in Jira,SCRUM-64,10263,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Compile all research (TAM/SAM/SOM, market trends, competitor profiles, comparison matrix, supplier analysis, risk map) into a final market analysis report.\n\nThe report should include:\n- Executive summary\n- Market sizing with sources\n- Competitor landscape overview and feature matrix\n- Supplier overview with risk assessment\n- Key insights and recommendations for product strategy\n\nPublish to Confluence or share as a document and link it in the SCRUM-16 Jira issue.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dz:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Map supplier risks and dependencies with mitigation strategies,SCRUM-63,10261,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Map out supplier risks and dependencies for the platform. Consider:\n\n- Single points of failure (e.g., reliance on one data source)\n- API availability and rate limits\n- Data access restrictions by Member States\n- Cost scalability as we expand across EU\n- Regulatory/legal risks around data usage\n\nPropose mitigation strategies for critical risks.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dr:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Identify and evaluate key technology and data suppliers,SCRUM-62,10259,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Identify and evaluate key suppliers needed to build the Regulatory Compliance Navigator:\n\n- Data suppliers: EU regulatory databases, LPIS/IACS systems, satellite monitoring providers (e.g., Copernicus/Sentinel)\n- Technology suppliers: cloud hosting (AWS/Azure/GCP), translation APIs, analytics engines\n- Integration partners: National Paying Agencies, existing farm management systems\n\nFor each supplier, document: capabilities, pricing (where available), integration complexity, and risks/dependencies.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000dj:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Create competitor feature comparison matrix,SCRUM-61,10257,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Build a feature comparison matrix comparing our Regulatory Compliance Navigator against the identified competitors. Include columns for:\n\n- Compliance automation (SMR/GAEC tracking)\n- Multi-language support\n- Cross-Member-State coverage\n- Real-time alerts and monitoring\n- Report generation for National Paying Agencies\n- Pricing model\n- Target user segment\n\nHighlight our competitive advantages (interdisciplinary approach, human-system interaction focus, plain-language translation of legal jargon).",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000db:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Identify and profile at least 5 competitors,SCRUM-60,10255,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Identify and analyze at least 5 competitors in the EU agricultural compliance space. Include both:\n\n- Direct competitors: existing compliance automation platforms\n- Indirect competitors: agricultural consultants, general farm management software (FMS), government portals\n\nFor each competitor, document: product features, target market, pricing model, strengths, and weaknesses.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000d3:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Research and document EU agricultural compliance market trends,SCRUM-59,10253,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:57 AM,09/Mar/26 11:59 AM,,,,0,,"Research market trends affecting the EU agricultural compliance space:\n\n- EU CAP simplification efforts (2024-2025 emergency measures, farms under 10ha exemptions)\n- Digital agriculture adoption rates across Member States\n- Satellite-based monitoring expansion (e.g., CAPCON service in Lithuania)\n- Farmer reliance on paid consultants for administrative tasks\n- Emerging circular/green economy regulations\n\nSummarize key trends with supporting data and sources.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000cv:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:57 AM
Estimate TAM/SAM/SOM for EU agricultural compliance market,SCRUM-58,10251,Subtask,To Do,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:56 AM,09/Mar/26 11:59 AM,,,,0,,"Research and estimate the Total Addressable Market (TAM), Serviceable Addressable Market (SAM), and Serviceable Obtainable Market (SOM) for the Regulatory Compliance Navigator.\n\n- TAM: EU-wide agricultural compliance software/services across all 27 Member States\n- SAM: Countries with similar digital infrastructure and CAP implementation to Lithuania\n- SOM: Lithuania as pilot market (~150,300 holdings)\n\nCite all data sources. Include market size in EUR where possible.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000cn:,SCRUM questions Sprint 1,SCRUM questions Sprint 2,,,,,,,10123,SCRUM-16,"Market analysis, competitor and supplier analysis",To Do,09/Mar/26 11:56 AM
Create Google Form with Lithuanian-translated questions,SCRUM-57,10249,Subtask,Done,SCRUM,K608,software,The V,712020:f14fa11e-5d60-4d0e-822f-5f18b8a6cfa0,Your first project,Medium,Done,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,09/Mar/26 11:52 AM,13/Mar/26 9:39 AM,,13/Mar/26 9:39 AM,,0,,"Create a Google Form using the Lithuanian-translated interview questions. Structure the form to match the interview guide sections (Farm Context, Compliance Experience, Current Solutions, Solution Interest & WTP). Include appropriate question types (short answer, paragraph, multiple choice where relevant). Ensure the form is shareable and ready for distribution to farmers.",,Maksym Sviatnyi,712020:13edebc4-169a-4e06-9eaa-451f0c9d1ca5,,,,,,,,,{},,0|i000cf:,SCRUM questions Sprint 2,,,,,,,,10122,SCRUM-15,Updated questionnaire for interview of farmers,Done,13/Mar/26 9:39 AM
